Meat,Protein,15,090078601,2024-07-20
Eggs,Protein,30,927354314,2024-07-15
Jam,Bakery,20,128374659,2024-07-08
Meat,Protein,50,090078601,2024-07-10
Eggs,Protein,30,927354314,2024-07-15
Jam,Bakery,20,128374659,2024-07-08
Meat,Protein,50,090078601,2024-07-10
Eggs,Protein,30,927354314,2024-07-15
Jam,Bakery,20,128374659,2024-07-08
Meat,Protein,50,090078601,2024-07-10
Eggs,Protein,30,927354314,2024-07-15
Jam,Bakery,20,128374659,2024-07-08
Meat,Protein,50,090078601,2024-07-10
Eggs,Protein,30,927354314,2024-07-15
Jam,Bakery,20,128374659,2024-07-08
